route_id,route_short_name,agency_id,route_type,route_long_name
17H,17H,TGSRTC,3,17H-KUSHAIGUDA-TO-SECUNDERABAD-KG
17H/219,17H/219,TGSRTC,3,219/17H-ECIL X RD-PATANCHERUVU-HCU
17H/250X,17H/250X,TGSRTC,3,17H/250X-SECUNDERABAD-TO-CHERLAPALLY RLY STN-KG
17H/29B,17H/29B,TGSRTC,3,17H/29B-JAGATHGIRI GUTTA-TO-HOLLY MERY COLLEGE-JDM
17H/30,17H/30,TGSRTC,3,17H/30-HOLLY MARY COLLEGE-TO-JAGADGIRIGUTTA-JDM
17H/47W,17H/47W,TGSRTC,3,17H/47W-WAVEROCK-TO-ECIL-KG
17HB,17HB,TGSRTC,3,17HB-ECIL-TO-BALAJI NAGAR-KG
17HC,17HC,TGSRTC,3,17H/250X-CHERLAPALLY-TO-SECUNDERABAD-KG
17HN,17HN,TGSRTC,3,17HN-SECUNDERABAD-TO-ECIL-KG
17MHK,17MHK,TGSRTC,3,17MHK_BATA TO SECUNDRABAD KG
17S,17S,TGSRTC,3,17S-SILVER-SECUNDERABAD-TO-KUSHAIGUDA
17SC,17SC,TGSRTC,3,17SC-SECUNERABAD-TO-CHERLAPALLY-KG
18,18,TGSRTC,3,18-UPPAL BUS STAND-TO-SECUNDERABAD-UPL
18/10K/J,18/10K/J,TGSRTC,3,18/10K/J-JAGATHGIRI GUTTA-TO-UPPLAL DEPOT-UPL
18/272G,18/272G,TGSRTC,3,18/272G-UPPAL DEPOT-TO-GANDIMAISAMMA-UPL
183A/272G,183A/272G,TGSRTC,3,183A/272G-GANDIMYSAMMA-TO-MITHRIVANAM-JDM
183B,183B,TGSRTC,3,29B-JDM-JEEDIMETLA DEPOT-TO-BALANAGAR
183MA,183MA,TGSRTC,3,183MA-MITHRIVANAM-TO-APURUPA COLONY-JDM
183S,183S,TGSRTC,3,183S-JEEDIMETLA -To -SUBASH NAGAR
183X,183X,TGSRTC,3,183X-JEEDIMETLADEPOT-TO-APURUPACOLONY-JDM
18/47,18/47,TGSRTC,3,18/47-AMBEDKAR NAGAR (BODUPPAL)-TO--AMBEDKAR OPEN UNIVERSITY-UPL
186,186,TGSRTC,3,WONDERLA_SEC-BAD_TO_LINGAMPALLY
188,188,TGSRTC,3,188-RAJENDERNAGAR DEPOT-TO-KALIMANDHIR-RJNR
188/251,188/251,TGSRTC,3,92A-ARAMGHAR-TO-RAJENDERNAGARDEPOT-RJNR
188A/49M,188A/49M,TGSRTC,3,188A/49M-ABHYUDAYA NAGAR-TO-SECUNDERABAD-RJNR
188B,188B,TGSRTC,3,94R- BAIRAGIGUDA TO MEHDIPATNAM -RJNR
188B/49M,188B/49M,TGSRTC,3,94R- BAIRAGIGUDA TO MEHDIPATNAM -RJNR
188BX,188BX,TGSRTC,3,188BX-MEHDIPATNAM DEPOT-TO-BANDLAGUDA-MP
188K,188K,TGSRTC,3,188R-MEHDIPATNAM-TO-RJNR DEPOT
188XL,188XL,TGSRTC,3,188XL-LANGAR HOUSE-TO-MEHDIPATNAM DEPOT-MP
189M,189M,TGSRTC,3,29B-JDM-JEEDIMETLA DEPOT-TO-SECUNDERABAD
189M/272G,189M/272G,TGSRTC,3,272J-GANDIMISAMMA-TO-JEEDIMETLADEPO-JDM
189M/272I,189M/272I,TGSRTC,3,189M/272I-MEHDIPATNAM-TO-INDIRAMMACOLONY-JDM
189MQ,189MQ,TGSRTC,3,189MQ-MEHADIPATNAM-TO-QUTHBULLAPUR-JDM
189QM,189QM,TGSRTC,3,189QM-QUTHBULLAPUR-TO-MEHADIPATNAM-JDM
18B,18B,TGSRTC,3,18B-SECUNDERABAD-TO-CCMB-RNS COLONY-CGCL
18C,18C,TGSRTC,3,18C-CHENGICHERLA-TO-SECUNDERABAD-CGCL
18C/30,18C/30,TGSRTC,3,18C/30-CHENGICHERLA DEPOT-TO-JAGATHGIRI GUTTA-CGCL
18C/30S,18C/30S,TGSRTC,3,18C/30S-CHENGICHERLA DEPOT-TO-JAGATHGIRI GUTTA- SRINIVAS NAGAR-CGCL
18CR,18CR,TGSRTC,3,18CR-UPPAL X ROAD-TO-CHERLAPALLY RLY STN-UPL
18CR/251,18CR/251,TGSRTC,3,300-UPPAL DEPOT-TO-MEHDIPATNAM-UPL
18J,18J,TGSRTC,3,18J-JBS-TO-UPPAL DEPOT-UPL
18R,18R,TGSRTC,3,18R-JBS-TO-CHERCH COLONY-UPL
18RD,18RD,TGSRTC,3,18RD-UPPAL X ROAD-TO-RAMPALLY DOUBLE BEDROOM
18RD/71A,18RD/71A,TGSRTC,3,18RD/71A-CHENGICHERLA DEPOT-TO-RAMPALLY DOUBLE BEDROOM-AFZALGUNJ-CGCL
18V,18V,TGSRTC,3,18V-SECUNDERABAD-TO-VENKATREDDY NAGAR-UPL
18V/J,18V/J,TGSRTC,3,18V/J-VENKATREDDY NAGAR-TO-JBS-UPL
18X,18X,TGSRTC,3,18X-UPPAL X ROAD-TO-UPPAL DEPOT-UPL
195,195,TGSRTC,3,195-BACHUPALLY-MIYAPUR 2 DEPO
195F/P,195F/P,TGSRTC,3,195F/P-WAVEROCK-TO-GANDIMAISAMMA
195G,195G,TGSRTC,3,MYP2-HMT COLONY-TO-GACHIBOWLI
195J,195J,TGSRTC,3,195WP-WAVEROCK-TO-JNTU-KP
195JW,195JW,TGSRTC,3,195JW-WAVE ROCK-TO-JAGATHGIRI GUTTA-HCU
195KG,195KG,TGSRTC,3,195KG-GAR-TO-PRAGATHINAGAR-MYP2
195SPL,195SPL,TGSRTC,3,195SPL-GAR-TO-MEDCHAL-MDCL
195S/W,195S/W,TGSRTC,3,195S/W_MYP2 DEPOT_TO_WAVE ROCK
195W,195W,TGSRTC,3,195W-SILVER ROUTE-JNTU-TO-WAVEROCK
195WP,195WP,TGSRTC,3,KP-MAITHRIVANAM-TO-SECUNDERABAD
198,198,TGSRTC,3,198-WAWE ROCK-TO-BALANAGAR-GANDIMAISAMMA
198/171K,198/171K,TGSRTC,3,198/171K-WAVEROCK-TO-GANDIMYASAMMA-JDM
198/224,198/224,TGSRTC,3,198/224-WAVEROCK-TO-GANDIMISAMMA-JDM
198/272G,198/272G,TGSRTC,3,198-GANDIMAISAM-TO-WAVE ROCK-JDM
19AK,19AK,TGSRTC,3,19AK MEHDIPATNAM_TO_ASBESTOS HILLS
19BM,19BM,TGSRTC,3,19BM MEHDIPATNAM_TO_BALAJINAGAR
19F,19F,TGSRTC,3,19F-BORABANDA-TO-MEHDIPATNAM DEPOT-MP
19KA,19KA,TGSRTC,3,19KA ASBESTOS HILLS_TO_MEHDIPATNAM
19K/B,19K/B,TGSRTC,3,19K/J-SILVER-JAGATHGIRI GUTTA-TO-MEHDIPATNAM
19K/J,19K/J,TGSRTC,3,KP-19K/JALLWYN COLONY LAST BUS STOP-TO-MEHDIPATNAM
19M,19M,TGSRTC,3,19M-MEHDIPATNAM-TO-KUKATPALLY VILLAGE
19M/218,19M/218,TGSRTC,3,217-SILVER-PATANCHERU-TO-CBS
19MB,19MB,TGSRTC,3,19MB BALAJINAGAR_TO_MEHDIPATNAM
19M/P,19M/P,TGSRTC,3,19M/P-MEHADIPATNAM-TO-PRAGATHINAGAR KAMAN-KP
19M/V,19M/V,TGSRTC,3,19M/V_VASANTHNAGAR_TO_MEHIDIPATNAM
19MV,19MV,TGSRTC,3,19M/V_VASANTHNAGAR_TO_MEHIDIPATNAM
19S,19S,TGSRTC,3,19S-MEHDIPATNAM-TO-KUKATPALLY DEPOT-KP
19S/505,19S/505,TGSRTC,3,19S/505-SANATHNAGAR-TO-SHANKARPALLY-KP
19V/M,19V/M,TGSRTC,3,19V/M MEHDIPATNAM_TO_VASANTHNGR
19VM,19VM,TGSRTC,3,19VM-VASANTH NAGAR-TO-KUKATPALLY BUS DEPOT-KP
19Y/F,19Y/F,TGSRTC,3,19Y/F-BORABANDA-TO-MEHDIPATNAM DEPOT-MP
1B/D,1B/D,TGSRTC,3,1B/D-BANDLAGUDA DEPOT-SECUNDERABAD STATION-BDG
1D/299,1D/299,TGSRTC,3,1D/299-SECUNDERABAD-TO-HAYATHNAGAR-HYT1
1D/V,1D/V,TGSRTC,3,1D/V-NGOSCOLONY-VAIDEHI NAGAR-TO-SECUNDERABAD-HYT2
1H,1H,TGSRTC,3,1H-SECUNDERABAD-KOTI-TO-HAYATHNAGAR-HYT2
